	factor_1	factor_2	factor_3
LMBR1L	0.0	0.0	0.0
KRT81	0.0	0.0	0.0
KRT5	0.0	0.0	0.0
KRT74	0.0	0.0	0.0
KRT1	0.0	0.0	0.0
ITGB7	0.0	0.0	0.0
SP7	0.0	0.0	0.0
CBX5	0.0	0.0	0.0
TESPA1	0.0	0.0	0.0
AC034102.6	0.0	0.0	0.0
AC073896.4	0.0	0.0	0.0
STAT2	0.0	0.0	0.0
IFNG	0.0	0.0	0.0
AC020656.1	0.0	0.0	0.0
PTPRB	0.0	0.0	0.0
PTPRR	0.0	0.0	0.0
AC089984.1	0.0	0.0	0.0
PHLDA1	0.0	0.0	0.0
CEP290	0.0	0.0	0.0
DUSP6	0.0	0.0	0.0
CLLU1OS	0.0	0.0	0.0
SOCS2-AS1	0.0	0.0	0.0
AC073655.3	0.0	0.0	0.0
AC073655.1	0.0	0.0	0.0
AC073655.2	0.0	0.0	0.0
USP44	0.0	0.0	0.0
NTN4	0.0	0.0	0.0
CCDC38	0.0	0.0	0.0
LTA4H	0.0	0.0	0.0
GNPTAB	0.0	0.0	0.0
PMCH	0.0	0.0	0.0
IGF1	0.0	0.0	0.0
PAH	0.0	0.0	0.0
NT5DC3	0.0	0.0	0.0
AC011313.1	0.0	0.0	0.0
NUAK1	0.0	0.0	0.0
AC004551.1	0.0	0.0	0.0
HRK	0.0	0.0	0.0
LINC01089	0.0	0.0	0.0
AC069503.4	0.0	0.0	0.0
PITPNM2	0.0	0.0	0.0
RILPL1	0.0	0.0	0.0
LINC00944	0.0	0.0	0.0
AC079949.1	0.0	0.0	0.0
AC137590.1	0.0	0.0	0.0
AC148476.1	0.0	0.0	0.0
IQSEC3	0.0	0.0	0.0
AC006207.1	0.0	0.0	0.0
CCND2	0.0	0.0	0.0
GALNT8	0.0	0.0	0.0
CD9	0.0	0.0	0.0
CD27	0.0	0.0	0.0
AC006064.1	0.0	0.0	0.0
AC006064.2	0.0	0.0	0.0
PTMS	0.0	0.0	0.0
LAG3	0.0	0.0	0.0
ENO2	0.0	0.0	0.0
C12orf57	0.0	0.0	0.0
C1RL-AS1	0.0	0.0	0.0
ZNF705A	0.0	0.0	0.0
AC092745.1	0.0	0.0	0.0
KLRG1	0.0	0.0	0.0
A2M-AS1	0.0	0.0	0.0
LINC00987	0.0	0.0	0.0
