	B	B	B	MP	MP	MP	NK	NK	NK
	p	logFC	p_adj	p	logFC	p_adj	p	logFC	p_adj
LENG9									
AC020922.3									
AC005261.2									
ZSCAN18									
MADCAM1									
GZMM									
CFD									
AC027307.1									
TMPRSS9									
CELF5									
AC005786.3									
GIPC3									
ATCAY									
FSD1									
NRTN									
AC011471.2									
AC010503.4									
RETN									
TGFBR3L									
MBD3L1									
AC011451.1									
ZNF561-AS1									
AC008752.1									
P2RY11									
SLC44A2									
CNN1									
AC008770.3									
AC018761.2									
AC022098.4									
AC011509.3									
CYP4F3									
AC020917.2									
AC008764.6									
F2RL3									
NIBAN3									
IFI30									
AC005759.1									
YJEFN3									
ZNF101									
ZNF257									
AC011503.4									
AC007786.1									
AC007786.2									
PLEKHF1									
WDR88									
CHST8									
SCN1B									
CD22									
U62631.1									
LINC01531									
PROSER3									
APLP1									
AC092295.1									
ZNF382									
AC074138.1									
ZNF567									
ZNF540									
AC093227.3									
C19orf33									
CATSPERG									
AC022144.1									
IFNL1									
LGALS14									
AC243960.3									
LINC01480									
CD79A									
L34079.2									
SRRM5									
ZNF284									
APOC1									
FOSB									
PPM1N									
C5AR1									
FTL									
AC010524.1									
FLT3LG									
ADM5									
SPIB									
KLK2									
AC008750.7									
ZNF649-AS1									
ZNF528									
VN1R2									
AC008753.2									
LAIR2									
KIR2DL3									
KIR2DL1									
KIR3DL1									
KIR3DL2									
NCR1									
NLRP4									
EDDM13									
ZFP28									
ZSCAN4									
ZNF135									
RPS5									
AC012313.8									
FAM110C									
ALKAL2									
MYT1L									
RNF144A-AS1									
AC007463.1									
ODC1									
SMC6									
AC009411.1									
AGBL5-AS1									
UCN									
CDC42EP3									
LINC00211									
AC074366.1									
SLC8A1									
KCNG3									
LINC02590									
AC019129.2									
CCDC88A									
LGALSL-DT									
LINC01800									
LINC01829									
CNRIP1									
AC114802.1									
AAK1									
ADD2									
AC073046.3									
TRABD2A									
CAPG									
CD8A									
CD8B									
AC133644.2									
AC062029.1									
IGKC									
IGKJ5									
IGKJ1									
IGKV1-5									
IGKV1-6									
IGKV1-8									
IGKV1-9									
IGKV3-11									
IGKV3-15									
IGKV1-17									
IGKV2-18									
IGKV2-19									
IGKV3-20									
IGKV2-24									
IGKV1-27									
AC103563.2									
DUSP2									
ANKRD23									
ANKRD39									
SEMA4C									
MGAT4A									
AFF3									
LONRF2									
AC012360.3									
FHL2									
AC010978.1									
AC093675.2									
RGPD8									
IL1B									
TFCP2L1									
BIN1									
LYPD1									
CXCR4									
AC092620.2									
AC092652.1									
AC092652.2									
RBM43									
NEB									
AC012443.2									
ACVR1C									
BAZ2B									
CD302									
SLC38A11									
SCN3A									
SCN9A									
GPR155									
TTN									
CCDC141									
AC020595.1									
NCKAP1									
LINC01473									
TFPI									
COL5A2									
SLC40A1									
HIBCH									
AC093388.1									
STAT4									
CAVIN2									
C2CD6									
AC079354.3									
AC079354.2									
MDH1B									
IKZF2									
DIRC3									
